거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층
"    82,500",2008,2015,사직로8길,00004,00000,11110,03,0,4100135, 사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),12,1~10,11110-2203,94.51,9,11110,11
"    60,000",1981,2015,세종대로23길,00047,00000,11110,02,0,4100190, 당주동,0145,0000,11110,11700,1,롯데미도파광화문빌딩,12,21~31,11110-12,149.95,145,11110,8
"   130,000",2004,2015,경희궁2길,00005,00005,11110,01,0,4100005, 내수동,0110,0015,11110,11800,1,킹스매너,12,1~10,11110-118,194.43,110-15,11110,6
"   105,000",2004,2015,사직로8길,00024,00000,11110,05,0,4100135, 내수동,0071,0000,11110,11800,1,경희궁의아침2단지,12,11~20,11110-115,124.17,71,11110,8
"   120,000",2003,2015,사직로8길,00020,00000,11110,05,0,4100135, 내수동,0095,0000,11110,11800,1,경희궁 파크팰리스,12,21~31,11110-107,146.33,95,11110,4
"    17,000",2014,2015,대학로,00047,00000,11110,05,0,3100002, 연건동,0195,0010,11110,16600,1,이화에수풀,12,11~20,11110-2359,16.98,195-10,11110,8
"    17,000",2014,2015,대학로,00047,00000,11110,05,0,3100002, 연건동,0195,0010,11110,16600,1,이화에수풀,12,11~20,11110-2359,16.98,195-10,11110,4
"    57,000",2006,2015,혜화로3가길,00030,00000,11110,01,0,4100544, 명륜1가,0019,0000,11110,17000,1,렉스빌,12,21~31,11110-973,106.98,19,11110,3
"    44,000",1995,2015,창경궁로,00265,00000,11110,07,0,3005008, 명륜2가,0004,0000,11110,17100,1,아남1,12,1~10,11110-25,84.8,4,11110,18
"    52,000",1995,2015,창경궁로,00265,00000,11110,07,0,3005008, 명륜2가,0004,0000,11110,17100,1,아남1,12,1~10,11110-25,84.9,4,11110,12
